WKT,WKT,VALUE,id,@id,power,voltage,raster,cables,operator,frequency,name,circuits,operator:short,operator:wikidata,operator:wikipedia,ref,wires,layer,source,motorcycle,line,fixme,admin_level,surface,not:operator:wikidata,addr:postcode,note,motorcar,alt_name,description,source:date,cable,location,highway,import,bridge,submarine,construction,disused,design,design:incomplete,start_date,seamark:type,communication,distance,length,,,
"MULTILINESTRING ((1047905.40077073 9812102.79364998,1035885.60279059 9808543.97791917))",POINT (1047905.40077073 9812102.79364998),0.01921926,way/756074043,way/756074043,line,150000;20000,1,6,PLN,50,Tanjung-Kuaro,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12535.57788,12495.127,,,
"MULTILINESTRING ((791566.953341914 9787841.04941707,790361.81397672 9785433.33480022))",POINT (791566.953341914 9787841.04941707),0.0203348,way/756074050,way/756074050,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692.480374,2690.736,,,
"MULTILINESTRING ((-70977.2819253328 9784375.08595523,-72264.6570973643 9781495.63365))",POINT (-70977.2819253328 9784375.08595523),0.01932141,way/620166579,way/620166579,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154.137031,3142.674,,,
"MULTILINESTRING ((-64049.2157786079 9784375.08595523,-67887.023761045 9779632.85261986))",POINT (-64049.2157786079 9784375.08595523),0.0195032,way/620166579,way/620166579,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100.618585,6078.93,,,
"MULTILINESTRING ((798495.019488639 9784375.08595523,796875.268700809 9782140.61857382))",POINT (798495.019488639 9784375.08595523),0.02038757,way/756074050,way/756074050,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759.78932,2757.867,,,
"MULTILINESTRING ((-60585.1827052454 9780909.12249339,-65879.2661989105 9776942.85219935))",POINT (-60585.1827052454 9780909.12249339),0.01951211,way/620166579,way/620166579,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6615.029863,6591.764,,,
"MULTILINESTRING ((788102.920268552 9780909.12249339,790366.309254372 9785431.08476776))",POINT (788102.920268552 9780909.12249339),0.02052214,way/756074050,way/756074050,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056.7848,5053.572,,,
"MULTILINESTRING ((-396596.390821402 9777443.15903154,-393729.607363929 9775891.2740578))",POINT (-396596.390821402 9777443.15903154),0.01983809,way/624460455,way/624460455,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259.876434,3229.084,,,
"MULTILINESTRING ((-67513.2488519703 9777443.15903154,-66708.6669077261 9778042.75681401))",POINT (-67513.2488519703 9777443.15903154),0.01922431,way/620166579,way/620166579,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.428924,999.846,,,
"MULTILINESTRING ((805423.085635364 9777443.15903154,804686.789383407 9776429.68627227))",POINT (805423.085635364 9777443.15903154),0.02064843,way/756074050,way/756074050,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.700764,1251.759,,,
"MULTILINESTRING ((-393132.35774804 9773977.1955697,-393936.427001632 9774203.67821926))",POINT (-393132.35774804 9773977.1955697),0.01984967,way/624460455,way/624460455,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.357262,827.496,,,
"MULTILINESTRING ((801959.052562001 9773977.1955697,804050.999034357 9776888.6811004))",POINT (801959.052562001 9773977.1955697),0.0205417,way/756074050,way/756074050,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585.106419,3582.467,,,
"MULTILINESTRING ((-396596.390821402 9770511.23210785,-396769.903540365 9770689.54173406))",POINT (-396596.390821402 9770511.23210785),0.01990076,way/624460455,way/624460455,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7990885,246.441,,,
"MULTILINESTRING ((-393132.35774804 9767045.26864601,-396723.003099451 9770735.18045361))",POINT (-393132.35774804 9767045.26864601),0.01996495,way/624460455,way/624460455,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148.609831,5100.003,,,
"MULTILINESTRING ((715358.225727941 9749715.45133679,719659.488937083 9749694.573763))",POINT (715358.225727941 9749715.45133679),0.02051694,way/613865138,way/613865138,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301.313877,4300.515,,,
"MULTILINESTRING ((722286.291874665 9749715.45133679,719659.652155744 9749728.20058321))",POINT (722286.291874665 9749715.45133679),0.02073669,way/613865138,way/613865138,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626.67066,2626.134,,,
"MULTILINESTRING ((715358.225727941 9742783.5244131,720004.584062964 9743165.41856886))",POINT (715358.225727941 9742783.5244131),0.02057809,way/613865138,way/613865138,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4662.026268,4661.156,,,
"MULTILINESTRING ((722286.291874665 9742783.5244131,720039.986646155 9742658.53104211))",POINT (722286.291874665 9742783.5244131),0.02071599,way/613865138,way/613865138,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249.780105,2249.318,,,
"MULTILINESTRING ((718822.258801303 9739317.56095126,720251.050167003 9739408.17953435))",POINT (718822.258801303 9739317.56095126),0.02081207,way/613865138,way/613865138,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.662144,1431.381,,,
"MULTILINESTRING ((531764.472839732 9728919.67056572,533666.762094133 9718646.22506715))",POINT (531764.472839732 9728919.67056572),0.02057113,way/1121246706,way/1121246706,line,150000,1,,PLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10448.08053,10452.123,,,
"MULTILINESTRING ((538692.538986457 9728919.67056572,533666.762094133 9718646.22506715))",POINT (538692.538986457 9728919.67056572),0.02059469,way/1121246706,way/1121246706,line,150000,1,,PLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436.87526,11441.266,,,
"MULTILINESTRING ((687645.961141041 9725453.70710388,687545.291525806 9723068.9390051))",POINT (687645.961141041 9725453.70710388),0.02061913,way/945757583,way/945757583,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386.891966,2386.807,,,
"MULTILINESTRING ((694574.027287766 9725453.70710388,694491.592742545 9722842.48757386))",POINT (694574.027287766 9725453.70710388),0.02055587,way/945757583,way/945757583,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.520409,2612.342,,,
